Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
EMR,EMR US Equity,44631,44631,D,Q,USD,44631,2.274,59184.333,55242,44561,4033,1.17,1131.231
ENPH,ENPH US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,22876.979,22912.3586,44561,36.745,0.618,103.48
ETR,ETR US Equity,44631,44631,D,Q,USD,44631,3.73,#N/A N/A,22079.2582,44561,26851.319,1.44,1023.75
EOG,EOG US Equity,44631,44631,D,Q,USD,44631,3.421,67505.671,68303.2416,44561,698,2.577,3064.467
EPAM,EPAM US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,11383.6708,44561,-1207.467,2.518,212.167
EFX,EFX US Equity,44631,44631,D,Q,USD,44631,0.697,33012.543,27334.7426,44561,5070.2,2.124,469.091
EQIX,EQIX US Equity,44631,44631,D,Q,USD,44631,1.793,75406.168,62919.5766,44561,13456.168,1.841,821.313
EQR,EQR US Equity,44631,44631,D,Q,USD,44631,2.859,41879.634,32629.6166,44561,8529.956,0.224,377.667
ESS,ESS US Equity,44631,44631,D,Q,USD,44631,2.611,28391.515,21934.9441,44561,6328.583,1.21,261.667
EL,EL US Equity,44631,44631,D,Q,USD,44631,0.937,97700.955,94770.4546,44561,3353,1.923,1119.25
ETSY,ETSY US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,16706.204,15400.204,44561,1451.271,0.981,187.267
RE,RE US Equity,44631,44631,D,Q,USD,44631,2.377,#N/A N/A,10658.7766,44561,1805.442,9.391,#N/A N/A
EVRG,EVRG US Equity,44631,44631,D,Q,USD,44631,3.574,#N/A N/A,14607.0118,44561,11223.3,0.503,285
ES,ES US Equity,44631,44631,D,Q,USD,44631,3.055,48507.078,28867.5084,44561,19761.851,1.189,991.75
EXC,EXC US Equity,44631,44631,D,Q,USD,44631,3.245,78338.876,42763.3759,44561,41934,0.849,2120.667
EXPE,EXPE US Equity,44631,44631,D,Q,USD,44631,0.098,32911.314,27928.3138,44561,4576,-0.355,231.071
EXPD,EXPD US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,14846.993,16647.4276,44561,-1261.032,1.684,380.25
EXR,EXR US Equity,44631,44631,D,Q,USD,44631,2.886,32998.796,26362.3156,44561,6119.977,1.378,300
XOM,XOM US Equity,44631,44631,D,Q,USD,44631,4.202,403563.544,359516.6691,44561,46096,1.577,15807.375
FFIV,FFIV US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,11365.322,11809.3224,44561,-237.231,2.806,249.857
FDS,FDS US Equity,44631,44631,D,Q,USD,44631,0.844,16221.753,15413.3035,44561,146.679,2.988,153.125
FAST,FAST US Equity,44631,44631,D,Q,USD,44631,2.298,31139.08,31062.6297,44561,400.6,0.42,369.4
FRT,FRT US Equity,44631,44631,D,Q,USD,44631,3.623,13528.127,9311.3756,44561,4030.108,0.524,146.6
FDX,FDX US Equity,44631,44631,D,Q,USD,44631,1.407,70318.735,56486.1643,44561,29996,4.754,2636.6
FITB,FITB US Equity,44631,44631,D,Q,USD,44631,2.836,#N/A N/A,30081.5275,44561,-23964,0.756,#N/A N/A
FRC,FRC US Equity,44631,44631,D,Q,USD,44631,0.577,#N/A N/A,28719.3575,44561,-6065,1.867,#N/A N/A
FE,FE US Equity,44631,44631,D,Q,USD,44631,3.566,47644.443,25078.0428,44561,22653,0.612,841
FIS,FIS US Equity,44631,44631,D,Q,USD,44631,2.061,71903.209,54460.8338,44561,18867,1.592,1501.722
FISV,FISV US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,81703.895,61404.3386,44561,21139,1.397,1586.643
FLT,FLT US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,21883.589,17878.089,44561,4557.841,3.498,405.167
FMC,FMC US Equity,44631,44631,D,Q,USD,44631,1.626,18181.242,15518.8422,44561,2819.2,1.738,332.857
F,F US Equity,44631,44631,D,Q,USD,44631,2.594,49605.131,64228.1307,44561,-16082,0.487,2710
FTNT,FTNT US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,42762.315,44888.4154,44561,-1496.5,0.941,228.889
FTV,FTV US Equity,44631,44631,D,Q,USD,44631,0.512,23152.027,20193.8941,44561,3324.2,0.708,334.429
FBHS,FBHS US Equity,44631,44631,D,Q,USD,44631,1.335,13650.041,11254.5406,44561,2439.8,1.384,320.714
FOXA,FOXA US Equity,44631,44631,D,Q,USD,44631,2.126,23768.606,21360.6064,44561,4210,0.918,887.833
FOX,FOX US Equity,44631,44631,D,Q,USD,44631,2.311,23581.606,21360.6064,44561,4210,0.918,887.833
BEN,BEN US Equity,44631,44631,D,Q,USD,44631,4.31,#N/A N/A,13687.9108,44561,3884.8,0.845,596.5
FCX,FCX US Equity,44631,44631,D,Q,USD,44631,1.176,78501.542,68272.8749,44561,1701,0.844,2954.636
AJG,AJG US Equity,44631,44631,D,Q,USD,44631,1.328,#N/A N/A,32036.222,44561,6044.6,2.401,903.25
GRMN,GRMN US Equity,44631,44631,D,Q,USD,44631,2.577,19395.021,21168.0214,44561,-3044.692,1.07,281
IT,IT US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,25018.151,23026.4837,44561,2493.791,1.614,255.6
GE,GE US Equity,44631,44631,D,Q,USD,44631,0.255,122370.756,101445.4233,44561,-19321,0.558,1514.5
GNRC,GNRC US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,18771.79,17964.0275,44561,936.636,2.509,237.867
GD,GD US Equity,44631,44631,D,Q,USD,44631,2.186,74850.794,64559.2234,44561,11572,2.744,1198.333
GIS,GIS US Equity,44631,44631,D,Q,USD,44631,3.379,49997.731,37561.6812,44561,11651.3,0.828,842.545
